row,base_tip,file,x,y,plant,species,node
1,base,Pact1_1.png,296,408,Pact1,act,1
2,tip,Pact1_1.png,361.5,73.5,Pact1,act,1
3,base,Pact1_10.png,324,411,Pact1,act,10
4,tip,Pact1_10.png,315.5,73.5,Pact1,act,10
5,base,Pact1_11.png,323,410,Pact1,act,11
6,tip,Pact1_11.png,310.5,72.5,Pact1,act,11
7,base,Pact1_12.png,314,413,Pact1,act,12
8,tip,Pact1_12.png,336.5,76.5,Pact1,act,12
9,base,Pact1_13.png,308,406,Pact1,act,13
10,tip,Pact1_13.png,331.5,71.5,Pact1,act,13
11,base,Pact1_14.png,342,410,Pact1,act,14
12,tip,Pact1_14.png,298.5,74.5,Pact1,act,14
13,base,Pact1_15.png,329,412,Pact1,act,15
14,tip,Pact1_15.png,340.5,72.5,Pact1,act,15
15,base,Pact1_16.png,317,405,Pact1,act,16
16,tip,Pact1_16.png,344.5,73.5,Pact1,act,16
17,base,Pact1_17.png,329,413,Pact1,act,17
18,tip,Pact1_17.png,340.5,72.5,Pact1,act,17
19,base,Pact1_2.png,323,412,Pact1,act,2
20,tip,Pact1_2.png,338.5,73.5,Pact1,act,2
21,base,Pact1_3.png,326,411,Pact1,act,3
22,tip,Pact1_3.png,341.5,73.5,Pact1,act,3
23,base,Pact1_4.png,316,412,Pact1,act,4
24,tip,Pact1_4.png,334.5,72.5,Pact1,act,4
25,base,Pact1_5.png,333,409,Pact1,act,5
26,tip,Pact1_5.png,320.5,72.5,Pact1,act,5
27,base,Pact1_6.png,319,413,Pact1,act,6
28,tip,Pact1_6.png,337.5,72.5,Pact1,act,6
29,base,Pact1_7.png,318,411,Pact1,act,7
30,tip,Pact1_7.png,338.5,73.5,Pact1,act,7
31,base,Pact1_8.png,319,414,Pact1,act,8
32,tip,Pact1_8.png,331.5,72.5,Pact1,act,8
33,base,Pact1_9.png,329,410,Pact1,act,9
34,tip,Pact1_9.png,339.5,74.5,Pact1,act,9
35,base,Pact2_1.png,295,410,Pact2,act,1
36,tip,Pact2_1.png,328.5,70.5,Pact2,act,1
37,base,Pact2_10.png,302,412,Pact2,act,10
38,tip,Pact2_10.png,343.5,73.5,Pact2,act,10
39,base,Pact2_11.png,333,410,Pact2,act,11
40,tip,Pact2_11.png,331.5,69.5,Pact2,act,11
41,base,Pact2_12.png,346,409,Pact2,act,12
42,tip,Pact2_12.png,306.5,71.5,Pact2,act,12
43,base,Pact2_13.png,303,410,Pact2,act,13
44,tip,Pact2_13.png,348.5,70.5,Pact2,act,13
45,base,Pact2_14.png,329,411,Pact2,act,14
46,tip,Pact2_14.png,316.5,72.5,Pact2,act,14
47,base,Pact2_2.png,308,411,Pact2,act,2
48,tip,Pact2_2.png,379.5,71.5,Pact2,act,2
49,base,Pact2_3.png,297,408,Pact2,act,3
50,tip,Pact2_3.png,355.5,72.5,Pact2,act,3
51,base,Pact2_4.png,303,412,Pact2,act,4
52,tip,Pact2_4.png,351.5,71.5,Pact2,act,4
53,base,Pact2_5.png,327,412,Pact2,act,5
54,tip,Pact2_5.png,336.5,71.5,Pact2,act,5
55,base,Pact2_6.png,312,411,Pact2,act,6
56,tip,Pact2_6.png,337.5,73.5,Pact2,act,6
57,base,Pact2_7.png,312,409,Pact2,act,7
58,tip,Pact2_7.png,330.5,72.5,Pact2,act,7
59,base,Pact2_8.png,329,413,Pact2,act,8
60,tip,Pact2_8.png,320.5,74.5,Pact2,act,8
61,base,Pact2_9.png,306,410,Pact2,act,9
